Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	1486	666	0	
	1	1485.9	666.016	0	
	2	1485.73	665.914	0	
	3	1485.5	665.566	0	
	4	1484.95	665.129	0	
	5	1484.68	664.852	0	
	6	1483.87	664.766	0	
	7	1481.19	664.605	0	
	8	1474.34	664.367	0	
	9	1464.29	664.41	0	
	10	1451.5	663.656	0	
	11	1438.06	662.676	0	
	12	1423.5	662.34	0	
	13	1406.91	661.344	0	
	14	1388.18	660.648	0	
	15	1368.09	660.336	0	
	16	1346.05	660.316	0	
	17	1321.82	660.371	0	
	18	1294.88	660.434	0	
	19	1267.23	660.555	0	
	20	1238.7	660.438	0	
	21	1209.5	660.559	0	
	22	1179.84	661.242	0	
	23	1149.72	661.57	0	
	24	1119.5	662.41	0	
	25	1089.54	663.535	0	
	26	1058.01	664.512	0	
	27	1026.37	665.59	0	
	28	994.406	666.492	0	
	29	963.5	667.34	0	
	30	933.664	667.734	0	
	31	904.645	668.637	0	
	32	876	668.566	0	
	33	848.02	668.523	0	
	34	820.5	667.551	0	
	35	793.5	666.477	0	
	36	768.895	665.477	0	
	37	746.277	664.379	0	
	38	727.156	663.562	0	
	39	711.5	663.262	0	
	40	698.895	662.648	0	
	41	689.559	662.656	0	
	42	682.262	662.555	0	
	43	677.254	662.574	0	
	44	674.766	662.66	0	
	45	675.297	663.324	0	
	46	675.32	663.312	0	
	47	675.5	663.301	0	
	48	675.5	662.684	0	
	49	675.625	662.559	0	
	50	675.863	662.551	0	
	51	675.773	662.555	0	
	52	675.652	662.578	0	


End of Keyframe Data
