Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	604	812	0	
	1	604.078	807.445	0	
	2	603.695	802.793	0	
	3	603.953	802.203	0	
	4	602	803.285	0	
	5	599.156	804.586	0	
	6	598.598	807.289	0	
	7	597.109	809.793	0	
	8	597.246	811.672	0	
	9	598.027	813.723	0	
	10	598.012	815.398	0	
	11	599.438	817.875	0	
	12	602	823.539	0	
	13	603	828.527	0	
	14	605.367	831.352	0	
	15	607.547	836.359	0	
	16	610.746	842.352	0	
	17	613.488	846.844	0	
	18	615.809	849.496	0	
	19	619.465	853.547	0	
	20	621.453	857.301	0	
	21	622.688	860.637	0	
	22	623.867	863.637	0	
	23	624.832	867.777	0	
	24	626.602	873.621	0	
	25	629.836	877.293	0	
	26	632.145	879.797	0	
	27	634	881.785	0	
	28	636.594	883.539	0	
	29	638.992	885.586	0	
	30	640.16	887.184	0	
	31	640.328	890.445	0	
	32	640.504	894.492	0	
	33	639.621	896.812	0	
	34	637.719	899.25	0	
	35	635.434	902.625	0	
	36	633.758	902.773	0	
	37	629.441	904.574	0	
	38	626.547	908.121	0	
	39	622.527	910.164	0	
	40	618.367	914.707	0	
	41	614	918.477	0	
	42	607	920.664	0	
	43	601.359	923.527	0	
	44	595.035	924.227	0	
	45	588.484	925.664	0	
	46	583	926.648	0	
	47	576.176	926.625	0	
	48	568	928.473	0	
	49	561.648	930.324	0	
	50	554.855	930.41	0	
	51	548.109	929.562	0	
	52	544.332	927.234	0	
	53	540.324	926.871	0	
	54	535	924.484	0	
	55	532.023	922.711	0	
	56	528.48	923.383	0	
	57	525.145	924.629	0	
	58	524.113	926.535	0	
	59	520.414	927.23	0	
	60	519.445	926.668	0	
	61	517.102	926.203	0	
	62	514.117	924.734	0	
	63	510.105	922.527	0	
	64	507.926	920.801	0	
	65	505	922.5	0	
	66	504.734	923.414	0	
	67	506.035	926.254	0	
	68	507.477	925.641	0	
	69	516.688	923.527	0	
	70	529.578	927.656	0	
	71	539	929.82	0	
	72	550.16	930.676	0	
	73	563.195	934.203	0	
	74	573	937.605	0	
	75	580.352	937.34	0	
	76	587.391	937.328	0	
	77	594.824	941.766	0	
	78	599.262	943.379	0	
	79	602	947.363	0	
	80	602.375	951.664	0	
	81	602.438	954.812	0	
	82	605.156	959.852	0	
	83	605.832	963.875	0	
	84	605.219	966.383	0	
	85	605.711	966.207	0	
	86	605.832	966.539	0	
	87	607.305	965.551	0	
	88	606.176	964.211	0	
	89	604.082	960.445	0	
	90	604.27	954.223	0	
	91	605	949.609	0	
	92	605.094	943.191	0	
	93	604.5	934.598	0	
	94	605.184	929.512	0	
	95	608.617	924.68	0	
	96	610.602	918.203	0	
	97	612	913.316	0	
	98	612.996	906.98	0	
	99	614	902.215	0	
	100	617.008	898.32	0	
	101	618.371	895.426	0	
	102	618.121	893.621	0	
	103	618.688	893.621	0	
	104	618.391	895.395	0	
	105	617.668	899.336	0	
	106	616.34	902.664	0	
	107	615.352	907.785	0	
	108	615.508	913.613	0	
	109	615.246	919.598	0	
	110	615.141	924.68	0	
	111	614.777	929.527	0	
	112	614.715	933.551	0	
	113	614.816	936.547	0	
	114	614.328	938.613	0	
	115	614.168	937.598	0	
	116	613.258	935.605	0	
	117	611.758	934.469	0	
	118	612.578	931.445	0	
	119	612.586	929.387	0	
	120	612.523	926.523	0	
	121	613.703	923.641	0	
	122	615.797	923.516	0	
	123	617.902	922.566	0	
	124	620.402	923.43	0	
	125	622.457	924.555	0	
	126	624.445	926.516	0	
	127	623.23	926.461	0	
	128	621.465	925.543	0	
	129	620.207	927.551	0	
	130	619.383	931.5	0	
	131	618.652	935.398	0	
	132	617.273	938.531	0	
	133	614.801	943.547	0	
	134	613.18	946.453	0	
	135	608.684	942.57	0	
	136	606.617	943.562	0	
	137	606.422	944.574	0	
	138	608.34	946.582	0	
	139	611.527	949.516	0	
	140	614.691	948.555	0	
	141	619.402	945.449	0	
	142	622.703	941.574	0	
	143	624.105	936.195	0	
	144	625.953	931.715	0	
	145	628.52	929.406	0	
	146	630.199	925.426	0	
	147	631.477	922.215	0	
	148	632.23	916.387	0	
	149	634.574	912.34	0	
	150	637.457	908.125	0	
	151	638.984	905.383	0	
	152	639.949	902.371	0	
	153	642.203	899.262	0	
	154	644.055	895.398	0	
	155	645.027	891.996	0	
	156	645.148	888.172	0	
	157	644.938	887.133	0	
	158	643.555	885.945	0	
	159	642.336	886.273	0	
	160	641.434	888.855	0	
	161	639.367	890.25	0	
	162	637.926	890.227	0	
	163	636.48	890.812	0	
	164	636.043	891.797	0	
	165	634.906	893.203	0	
	166	633.027	895.41	0	
	167	632.48	895.977	0	
	168	632.215	895.992	0	
	169	632.531	894.199	0	
	170	634.238	894.039	0	
	171	634.98	894.266	0	
	172	634.238	895.098	0	
	173	633.93	895.816	0	
	174	633.84	897.855	0	
	175	633.852	898.816	0	
	176	632.395	900.02	0	
	177	632.082	902.949	0	
	178	631.973	903.184	0	
	179	632.145	907.293	0	
	180	630.93	910.832	0	
	181	630.359	913.051	0	
	182	629.086	915.152	0	
	183	628.059	917.051	0	
	184	626.102	917.855	0	
	185	625.172	918.844	0	
	186	624.363	919.25	0	
	187	622.34	919.199	0	
	188	620.164	916.418	0	
	189	620.453	912.727	0	
	190	618.93	908.941	0	
	191	617.387	903.883	0	
	192	615.094	896.824	0	
	193	612.48	890.262	0	
	194	610.492	884.879	0	
	195	609.953	876.398	0	
	196	609.957	868.316	0	
	197	607.117	858.98	0	
	198	605.215	850.785	0	
	199	603.867	841.707	0	
	200	602.965	838.367	0	
	201	602.434	835.219	0	
	202	603.965	835.246	0	
	203	605.02	837.195	0	
	204	606.203	839.348	0	
	205	607.5	843.902	0	
	206	610.133	846.047	0	
	207	613.281	853.043	0	
	208	615.426	862.012	0	
	209	617.977	873.41	0	
	210	618.949	887.945	0	
	211	617.875	901.984	0	
	212	619.047	915.898	0	
	213	618.121	934.805	0	
	214	617.09	950.277	0	
	215	612.227	963.871	0	
	216	608.133	975.348	0	
	217	602.797	986.777	0	
	218	599.461	994.32	0	
	219	595.547	1002.41	0	
	220	593.055	1005.76	0	
	221	593.312	1006.07	0	
	222	592.422	1007.35	0	
	223	593.602	1007.8	0	
	224	595.352	1009.3	0	
	225	597.043	1012.01	0	
	226	598.059	1012.21	0	
	227	599.391	1013	0	
	228	598.949	1010.01	0	
	229	597.137	1002.43	0	
	230	595.496	991.434	0	
	231	593.48	979.184	0	
	232	594.414	964.074	0	
	233	593.57	946.594	0	
	234	592.336	926.074	0	
	235	594.887	903.102	0	
	236	597.379	884.129	0	
	237	602.551	868.219	0	
	238	607.809	852.941	0	
	239	613.242	842.418	0	
	240	618.922	835.859	0	
	241	623.445	832.266	0	
	242	630.16	832.441	0	
	243	639.461	832.961	0	
	244	644.586	834.16	0	
	245	649.867	835.754	0	
	246	654.914	835.758	0	
	247	662.113	836.844	0	
	248	668.402	837.746	0	
	249	671.918	838.086	0	
	250	674.531	840.414	0	
	251	678.832	843.004	0	
	252	680.27	845.809	0	
	253	681	845.824	0	
	254	681.316	847.906	0	
	255	679.457	853.371	0	
	256	674.688	856.785	0	
	257	671.887	862.789	0	
	258	667.242	865.898	0	
	259	664.203	870.992	0	
	260	660.203	875.129	0	
	261	656.441	879.871	0	
	262	653.82	885.973	0	
	263	649.398	889.828	0	
	264	648.914	893.215	0	
	265	647.988	900.688	0	
	266	647.887	907.863	0	
	267	648.266	915.074	0	
	268	647.574	922.43	0	
	269	649.324	928.984	0	
	270	650.074	935.73	0	
	271	649.941	941.879	0	
	272	651.035	948.363	0	
	273	648.582	954.754	0	
	274	647.988	958.688	0	
	275	648.188	959.332	0	
	276	647.016	962.004	0	
	277	646.129	962.824	0	
	278	645.25	962.781	0	
	279	642.863	963.793	0	
	280	638.992	961.832	0	
	281	633.832	960.309	0	
	282	627.703	958.156	0	
	283	620.375	954.082	0	
	284	613.164	950.211	0	
	285	606.254	945.887	0	
	286	599.402	940.031	0	
	287	592.941	933.027	0	
	288	586.02	925.758	0	
	289	579.852	917.973	0	
	290	577.172	911.234	0	
	291	575.945	905.977	0	
	292	574.484	901.051	0	
	293	572.004	897.836	0	
	294	567.984	899.348	0	
	295	565.016	902.766	0	
	296	561.055	908.32	0	
	297	556.027	915.73	0	
